Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Lacticaseibacillus paracasei		strain: L9	1597	ASM124439v1	GCF_001244395.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3076437	3076437	2015-08-05	3008	PRJNA289435	SAMN03853751
Lacticaseibacillus paracasei		strain: KL1	1597	ASM151441v1	GCF_001514415.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2918888	2918888	2016-01-14	2869	PRJNA307294	SAMN04378089
Lacticaseibacillus paracasei		strain: IIA	1597	ASM207928v1	GCF_002079285.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3055892	3246143	2017-04-05	3194	PRJNA315936	SAMN04571918
Lacticaseibacillus paracasei		strain: TK1501	1597	ASM225762v1	GCF_002257625.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2942538	2942538	2017-08-16	2821	PRJNA349108	SAMN05921089
Lacticaseibacillus paracasei		strain: FAM18149	1597	ASM244283v1	GCF_002442835.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2710941	2969707	2017-10-04	2982	PRJNA343183	SAMN05781319
Lacticaseibacillus paracasei subsp. paracasei		strain: TMW 1.1434	47714	ASM281361v1	GCF_002813615.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3063698	3170114	2017-12-07	3034	PRJNA327719	SAMN05356834
Lacticaseibacillus paracasei		strain: HD1.7	1597	ASM286556v1	GCF_002865565.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3039280	3039280	2018-01-08	2954	PRJNA420596	SAMN08195363
Lacticaseibacillus paracasei		strain: HDS-01	1597	ASM290282v1	GCF_002902825.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3038767	3038767	2018-01-28	2953	PRJNA429854	SAMN08361670
Lacticaseibacillus paracasei		strain: EG9	1597	ASM317707v1	GCF_003177075.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2927257	3074406	2018-05-30	3073	PRJNA472195	SAMN09239981
Lacticaseibacillus paracasei		strain: Lpc10	1597	ASM319900v1	GCF_003199005.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3052122	3052122	2018-06-07	2959	PRJNA473822	SAMN09283999
Lacticaseibacillus paracasei		strain: LC355	1597	ASM326871v1	GCF_003268715.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3044973	3143531	2018-06-27	3038	PRJNA471936	SAMN09222630
Lacticaseibacillus paracasei		strain: ZFM54	1597	ASM362725v1	GCF_003627255.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3015887	3048677	2018-10-08	2962	PRJNA392728	SAMN07305422
Lacticaseibacillus paracasei subsp. tolerans		strain: AO356	113557	ASM395743v1	GCF_003957435.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3022095	3096558	2018-12-20	3037	PRJNA422956	SAMN08200884
Lacticaseibacillus paracasei		strain: IJH-SONE68	1597	ASM396683v1	GCF_003966835.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3084917	3181204	2018-07-25	3096	PRJDB6382	SAMD00094822
Lacticaseibacillus paracasei		strain: SRCM103299	1597	ASM414183v1	GCF_004141835.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3081420	3187447	2019-02-06	3122	PRJNA517970	SAMN10849469
Lacticaseibacillus paracasei		strain: CBA3611	1597	ASM729211v1	GCF_007292115.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3035735	3102530	2019-07-23	3047	PRJNA545404	SAMN11890849
Lacticaseibacillus paracasei		strain: NJ	1597	ASM763763v1	GCF_007637635.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3083412	3083412	2019-07-30	2968	PRJNA555460	SAMN12319598
Lacticaseibacillus paracasei		strain: 10266	1597	ASM832984v1	GCF_008329845.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3012260	3044908	2019-09-09	2941	PRJNA487125	SAMN09874024
Lacticaseibacillus paracasei		strain: TCS	1597	ASM880709v1	GCF_008807095.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3077701	3144483	2019-10-03	3110	PRJNA528226	SAMN11177072
Lacticaseibacillus paracasei subsp. paracasei		strain: IBB3423	47714	ASM973948v1	GCF_009739485.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3183386	3240583	2019-12-10	3140	PRJNA388024	SAMN07167770
Lacticaseibacillus paracasei		strain: TD 062	1597	ASM983440v1	GCF_009834405.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2667255	2867519	2020-01-08	2869	PRJNA568690	SAMN12792675
Lacticaseibacillus paracasei		strain: CACC 566	1597	ASM993171v1	GCF_009931715.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3123521	3240202	2020-01-27	3194	PRJNA601660	SAMN13871807
Lacticaseibacillus paracasei		strain: 347-16	1597	ASM1295548v1	GCF_012955485.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3102350	3219033	2020-05-03	3169	PRJNA588921	SAMN13259076
Lacticaseibacillus paracasei		strain: Lp02	1597	ASM1330712v1	GCF_013307125.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2991176	3092262	2020-06-09	2987	PRJNA534358	SAMN11489091
Lacticaseibacillus paracasei		strain: NSMJ15	1597	ASM1490501v1	GCF_014905015.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	2791177	2958273	2020-10-21	2913	PRJNA607656	SAMN14142699
Lacticaseibacillus paracasei		strain: NFFJ04	1597	ASM1490507v1	GCF_014905075.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2983945	3196149	2020-10-21	3162	PRJNA615038	SAMN14444968
Lacticaseibacillus paracasei		strain: TK-P4A	1597	ASM1537758v1	GCF_015377585.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3020185	3080275	2020-11-12	3002	PRJNA579198	SAMN13106280
Lacticaseibacillus paracasei subsp. tolerans		strain: MGB0245	113557	ASM1547607v1	GCF_015476075.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3042298	3186130	2020-11-15	3131	PRJNA674457	SAMN16657550
Lacticaseibacillus paracasei subsp. tolerans		strain: MGB0734	113557	ASM1547613v1	GCF_015476135.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3079306	3300275	2020-11-15	3230	PRJNA674668	SAMN16667758
Lacticaseibacillus paracasei subsp. tolerans		strain: MGB0625	113557	ASM1547615v1	GCF_015476155.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3202250	3251147	2020-11-15	3166	PRJNA674676	SAMN16668564
Lacticaseibacillus paracasei subsp. tolerans		strain: MGB0747	113557	ASM1547617v1	GCF_015476175.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3071809	3145659	2020-11-15	3051	PRJNA674677	SAMN16668663
Lacticaseibacillus paracasei subsp. tolerans		strain: MGB0761	113557	ASM1547619v1	GCF_015476195.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3086705	3172378	2020-11-15	3079	PRJNA674678	SAMN16668817
Lacticaseibacillus paracasei subsp. tolerans		strain: ZY-1	113557	ASM1569394v1	GCF_015693945.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3148894	3254229	2020-11-29	3167	PRJNA679905	SAMN16861159
Lacticaseibacillus paracasei subsp. tolerans		strain: S-NA5	113557	ASM1675767v1	GCF_016757675.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3102338	3141558	2021-01-27	3036	PRJNA692640	SAMN17359331
Lacticaseibacillus paracasei subsp. tolerans		strain: S-NB	113557	ASM1675769v1	GCF_016757695.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3103392	3152144	2021-01-27	3045	PRJNA692643	SAMN17359333
Lacticaseibacillus paracasei		strain: HL182	1597	ASM1763890v1	GCF_017638905.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3082023	3141511	2021-03-30	3032	PRJNA712632	SAMN18236778
Lacticaseibacillus paracasei		strain: HM1	1597	ASM1806418v1	GCF_018064185.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	93373	2831954	2021-04-17	2625	PRJNA720253	SAMN18644302
Lacticaseibacillus paracasei subsp. tolerans		strain: 2A	113557	ASM1828643v1	GCF_018286435.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3042229	3042229	2021-05-06	2965	PRJNA720963	SAMN18869149
Lacticaseibacillus paracasei subsp. paracasei		strain: GR0548	47714	ASM1917540v1	GCF_019175405.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2939246	3014784	2021-07-08	2906	PRJNA716473	SAMN18436391
Lacticaseibacillus paracasei subsp. paracasei		strain: GR0562	47714	ASM2165083v1	GCF_021650835.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3039633	3070110	2022-01-27	2973	PRJNA799079	SAMN25145123
Lacticaseibacillus paracasei		strain: VHProbi F22	1597	ASM2247807v1	GCF_022478075.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3076758	3143553	2022-03-04	3099	PRJNA785080	SAMN23765140
Lacticaseibacillus paracasei		strain: BCRC-16100	1597	ASM2258877v1	GCF_022588775.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	3029023	3029123	2022-03-16	2866	PRJNA773974	SAMN22548461
Lacticaseibacillus paracasei		strain: WX322	1597	ASM2270131v1	GCF_022701315.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3080525	3320114	2022-03-28	3240	PRJNA563284	SAMN12671281
Lacticaseibacillus paracasei		strain: SCB0563	1597	ASM2281926v1	GCF_022819265.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2861805	2898292	2022-04-06	2763	PRJNA818846	SAMN26885627
Lacticaseibacillus paracasei		strain: 401	1597	ASM2367454v1	GCF_023674545.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3101562	3101562	2022-06-08	2996	PRJNA844480	SAMN28818858
Lacticaseibacillus paracasei		strain: DM001	1597	ASM2415896v2	GCF_024158965.2	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2915987	3027537	2022-08-31	2957	PRJNA853808	SAMN29405972
Lacticaseibacillus paracasei		strain: SMN-LBK	1597	ASM2449831v1	GCF_024498315.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3102336	3151087	2022-08-01	3045	PRJNA861937	SAMN29933592
Lacticaseibacillus paracasei		strain: VHProbi F11	1597	ASM2463791v1	GCF_024637915.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3088437	3189284	2022-08-12	3139	PRJNA821934	SAMN27160580
Lacticaseibacillus paracasei subsp. paracasei		strain: 01	47714	ASM2466581v1	GCF_024665815.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3076746	3143541	2022-08-15	3109	PRJNA860779	SAMN29862210
Lacticaseibacillus paracasei		strain: VHProbi M56	1597	ASM2471733v1	GCF_024717335.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3039086	3082467	2022-08-19	3017	PRJNA821984	SAMN27162336
Lacticaseibacillus paracasei		strain: L1	1597	ASM2513749v1	GCF_025137495.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3121955	3434047	2022-09-12	3354	PRJNA749149	SAMN20355457
Lacticaseibacillus paracasei		strain: ALAC-4	1597	ASM2521566v1	GCF_025215665.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3063065	3073840	2022-09-15	2965	PRJNA512587	SAMN10688387
Lacticaseibacillus paracasei		strain: VHProbi O44	1597	ASM2525238v1	GCF_025252385.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3105961	3318282	2022-09-19	3279	PRJNA874474	SAMN30550144
Lacticaseibacillus paracasei		strain: NG-LCU-ST2	1597	ASM2575750v1	GCF_025757505.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	213618	3116663	2022-10-19	3115	PRJNA884707	SAMN31037893
Lacticaseibacillus paracasei subsp. paracasei		strain: OLXI-3	47714	ASM2591747v1	GCF_025917475.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	128642	3062705	2022-10-31	2872	PRJNA753215	SAMN20691750
Lacticaseibacillus paracasei subsp. tolerans		strain: FX-6	113557	ASM2594672v1	GCF_025946725.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3214847	3214847	2022-11-01	3150	PRJNA891064	SAMN31308951
Lacticaseibacillus paracasei subsp. tolerans		strain: FX-6-1	113557	ASM2594674v1	GCF_025946745.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3247002	3247002	2022-11-01	3153	PRJNA891071	SAMN31308977
Lacticaseibacillus paracasei		strain: ATG-E1	1597	ASM2601372v1	GCF_026013725.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3124497	3221122	2022-11-06	3159	PRJNA893854	SAMN31433209
Lacticaseibacillus paracasei		strain: NG-LCU-NJ2	1597	ASM2788635v1	GCF_027886355.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	248475	2845299	2023-01-17	2771	PRJNA884707	SAMN31037894
Lacticaseibacillus paracasei		strain: CLP-C10	1597	ASM2860972v1	GCF_028609725.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3186433	3233523	2023-02-13	3153	PRJNA627615	SAMN14677579
Lacticaseibacillus paracasei		strain: CLP-Y5	1597	ASM2860974v1	GCF_028609745.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3045767	3183647	2023-02-13	3137	PRJNA627792	SAMN14686377
Lacticaseibacillus paracasei		strain: VHProbi OF10	1597	ASM2962535v1	GCF_029625355.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3084431	3084431	2023-04-09	2956	PRJNA785080	SAMN26144441
Lacticaseibacillus paracasei		strain: PC-H1	1597	ASM2992544v1	GCF_029925445.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	2896306	2950639	2023-05-02	2863	PRJNA957135	SAMN34247084
Lacticaseibacillus paracasei		strain: GM-080	1597	ASM3006189v1	GCF_030061895.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3140923	3140923	2023-05-22	3133	PRJNA824946	SAMN27485237
Lacticaseibacillus paracasei		strain: L14	1597	ASM3048042v1	GCF_030480425.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2997905	2997905	2023-07-15	2912	PRJNA933957	SAMN33263285
Lacticaseibacillus paracasei		strain: XJ-003	1597	ASM3058183v1	GCF_030581835.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2856677	2912257	2023-08-02	2822	PRJNA756773	SAMN20924980
Lacticaseibacillus paracasei		strain: KCKM 0245	1597	ASM3134842v1	GCF_031348425.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3052353	3052353	2023-09-12	2982	PRJNA1012347	SAMN37235621
Lacticaseibacillus paracasei		strain: LMG 19719	1597	ASM3246601v1	GCF_032466015.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2736776	2906978	2023-10-10	2893	PRJNA1017724	SAMN37405140
Lacticaseibacillus paracasei		isolate: MGYG-HGUT-02388	1597	UHGG_MGYG-HGUT-02388	GCF_902386635.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3076437	3076437	2019-08-10	2994	PRJEB33885	SAMEA5851892
